Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
764,993761,163,28.2,3936,24.44
765,995278,140,25.42,3941,24.44
766,995858,432,101.61,3947,24.44
767,999139,120,23.58,3952,24.44
768,999511,159,27.66,3958,24.44
769,1001686,51,15.86,3963,24.44
770,1001729,53,16.22,3968,24.44
771,1004673,408,90.57,3973,24.44
772,1005883,124,23.92,3978,24.44
773,1006359,186,31.68,3984,24.44
774,1006753,51,15.86,3989,24.66
775,1007032,344,64.67,3994,24.44
776,1008472,414,93.93,3999,24.44
777,1008497,216,36.85,4004,24.44
778,1008684,368,72.93,4009,24.44
779,1009577,166,28.62,4014,24.44
780,1011792,227,38.83,4020,24.44
781,1012566,270,46.71,4026,24.44
782,1014751,455,117.03,4032,24.44
783,1015587,335,61.77,4038,24.44
784,1019073,58,17.1,4043,24.44
785,1024795,287,50.23,4049,24.44
786,1026601,384,80.08,4055,24.44
787,1029267,143,25.74,4060,24.44
788,1029352,192,32.67,4066,24.44
789,1031016,412,92.93,4071,24.44
790,1031127,281,48.9,4076,24.44
791,1031554,227,38.83,4082,24.44
792,1033012,156,27.28,4088,24.44
793,1036120,142,25.64,4093,24.44
794,1037334,463,119.23,4099,24.44
795,1037587,326,59.13,4105,24.44
796,1041876,154,27.02,4111,24.44
797,1042785,210,35.78,4116,24.44
798,1043600,263,45.37,4121,24.44
799,1044390,89,21.05,4127,24.44
800,1045547,463,119.23,4132,24.44
801,1049851,344,64.67,4138,24.44
802,1051395,376,76.43,4143,24.44
803,1051411,216,36.85,4148,24.44
804,1053156,56,16.76,4153,24.44
805,1053201,143,25.74,4159,24.44
806,1053906,287,50.23,4165,24.44
807,1055245,455,117.03,4171,24.44
808,1060810,441,109.77,4177,24.44
809,1065472,274,47.52,4182,24.44
810,1065711,316,56.81,4188,24.44
811,1066125,376,76.43,4193,24.44
812,1066256,99,21.91,4198,24.44
813,1074085,249,42.85,4203,24.44
814,1075788,206,35.07,4209,24.44
815,1075862,135,24.92,4214,24.44
816,1076128,56,16.76,4220,24.44
817,1076818,195,33.17,4226,24.44
818,1079045,224,38.29,4231,24.44
819,1079329,364,71.71,4237,24.44
820,1080914,280,48.67,4242,24.44
821,1082585,295,51.75,4248,24.44
822,1082808,323,58.48,4254,24.44
823,1083586,368,72.93,4260,24.44
824,1083880,255,43.96,4265,24.44
825,1085221,192,32.67,4270,24.44
826,1085727,463,119.23,4275,24.44
827,1086359,195,33.17,4281,24.44
828,1086427,217,37.04,4286,24.44
829,1087504,473,126.29,4291,24.44
830,1087642,344,64.67,4297,24.44
831,1088032,147,26.19,4302,24.44
832,1090085,238,40.82,4308,24.44
833,1091175,243,41.74,4314,24.44
834,1091425,195,33.17,4320,24.44
835,1092193,188,32.01,4325,24.44
836,1092229,412,92.93,4330,24.44
837,1094994,319,57.64,4335,24.44
838,1095299,368,72.93,4340,24.44
839,1095399,131,24.54,4345,24.44
840,1095786,153,26.9,4351,24.44
841,1095937,460,119.54,4357,24.44
842,1099020,263,45.37,4363,24.44
843,1099220,112,22.94,4369,24.44
844,1099249,238,40.82,4375,24.44
845,1100288,441,109.77,4381,24.44
846,1102382,204,34.73,4386,24.44
847,1105080,419,97.2,4391,24.44
848,1105349,188,32.01,4396,24.44
849,1107956,216,36.85,4401,24.44
850,1108388,71,19.06,4406,24.44
851,1109671,300,52.79,4412,24.44
852,1109752,255,43.96,4418,24.44
853,1109967,270,46.71,4423,24.44
854,1110638,280,48.67,4429,24.44
855,1111102,188,32.01,4435,24.44
856,1113226,281,48.9,4440,24.44
857,1113598,105,22.39,4446,24.44
858,1113650,376,76.43,4451,24.44
859,1115454,120,23.58,4456,24.44
860,1118898,159,27.66,4462,24.44
861,1119275,364,71.71,4467,24.44
862,1119657,88,20.96,4472,24.44
863,1120113,121,23.66,4477,24.44
864,1120402,284,49.41,4483,24.44
865,1121462,176,30.09,4489,24.44
866,1122911,185,31.51,4494,24.44
867,1123836,348,65.64,4499,24.44
868,1124840,231,39.55,4504,24.44
869,1125024,263,45.37,4510,24.44
870,1125118,252,43.42,4516,24.44
871,1125128,147,26.19,4522,24.44
872,1125729,307,54.48,4528,24.44
873,1126640,103,22.23,4533,24.44
874,1127608,433,104.37,4538,24.44
875,1128700,121,23.66,4543,24.44
876,1129730,103,22.23,4549,24.44
877,1130200,159,27.66,4554,24.44
878,1130759,312,55.68,4559,24.44
879,1131410,444,109.09,4564,24.44
880,1131533,225,38.48,4569,24.44
881,1133282,440,109.25,4575,24.44
882,1134027,377,76.28,4580,24.44
883,1134357,240,41.21,4585,24.44
884,1136164,307,54.48,4591,24.44
885,1136546,448,112.41,4596,24.44
886,1137845,179,30.55,4602,24.44
887,1138831,319,57.64,4607,24.44
888,1143669,242,41.58,4612,24.44
889,1145923,71,19.06,4618,24.44
890,1151596,184,31.36,4624,24.44
891,1152080,216,36.85,4629,24.44
892,1154335,440,109.25,4634,24.44
893,1156560,339,62.98,4639,24.44
894,1156685,268,46.26,4644,24.44
895,1156964,384,80.08,4650,24.44
896,1159318,344,64.67,4655,24.44
897,1162025,527,155.96,4660,24.44
898,1166516,327,59.28,4666,24.44
899,1167159,143,25.74,4672,24.44
900,1168397,231,39.55,4678,24.44
901,1168499,97,21.75,4684,24.44
902,1168552,153,26.9,4689,24.44
903,1169021,167,28.76,4695,24.44
904,1169028,295,51.75,4700,24.44
905,1169449,194,33,4706,24.44
906,1169650,224,38.29,4711,24.44
907,1170584,287,50.23,4717,24.44
908,1171001,441,109.77,4723,24.44
909,1171159,236,40.44,4728,24.44
910,1171881,415,95,4734,24.44
911,1172421,184,31.36,4739,24.44
912,1172673,448,112.41,4744,24.44
913,1172970,268,46.26,4750,24.44
914,1173018,339,62.98,4756,24.44
915,1173346,235,40.29,4761,24.44
916,1174232,166,28.62,4767,24.44
917,1174960,195,33.17,4773,24.44
918,1179129,307,54.48,4778,24.44
919,1179513,412,92.93,4783,24.44
920,1179601,243,41.74,4788,24.44
921,1180672,173,29.64,4794,24.44
922,1180864,255,43.96,4799,24.44
923,1181204,88,20.96,4804,24.44
924,1181334,441,109.77,4809,24.44
925,1181494,225,38.48,4814,24.44
926,1182101,96,21.67,4820,24.44
927,1182511,331,60.51,4825,24.44
928,1184456,243,41.74,4830,24.44
929,1184467,224,38.29,4836,24.44
930,1185533,275,47.73,4842,24.44
931,1189039,88,20.96,4848,24.44
932,1189907,409,91.12,4853,24.44
933,1190301,57,16.93,4858,24.44
934,1190978,287,50.23,4864,24.44
935,1191705,462,120.87,4870,24.44
936,1193747,74,19.44,4876,24.44
937,1194319,143,25.74,4882,24.44
938,1195709,146,26.08,4888,24.44
939,1195790,359,69.86,4894,24.44
940,1197159,184,31.36,4899,24.44
941,1197306,365,71.38,4904,24.44
942,1197686,423,97.36,4909,24.44
943,1197870,236,40.44,4914,24.44
944,1200924,221,37.76,4920,24.44
945,1203828,254,43.77,4925,24.44
946,1204681,291,50.97,4931,24.44
947,1205282,275,47.73,4937,24.44
948,1205744,62,17.75,4943,24.44
949,1206890,327,59.28,4949,24.44
950,1208548,371,73.82,4955,24.44
951,1210201,163,28.2,4960,24.44
952,1210769,280,48.67,4966,24.44
953,1211723,460,119.54,4972,24.44
954,1215832,295,51.75,4978,24.44
955,1216114,71,19.06,4984,24.44
956,1216656,166,28.62,4990,24.44
957,1219497,440,109.25,4996,24.44
958,1220448,94,21.5,5001,24.44
959,1223054,167,28.76,5006,24.44
960,1223401,313,56.02,5011,24.44
961,1226908,319,57.64,5016,24.44
962,1227332,286,49.78,5021,24.44
963,1228067,460,119.54,5027,24.44
964,1229975,79,20.03,5033,24.44
965,1232401,114,23.1,5038,24.44
966,1232902,364,71.71,5044,24.44
967,1233808,89,21.05,5049,24.44
968,1234500,167,28.76,5054,24.44
969,1235234,220,37.58,5059,24.44
970,1235953,142,25.64,5064,24.44
971,1238265,51,15.86,5070,24.44
972,1238423,262,45.24,5075,24.44
973,1238549,96,21.67,5081,24.44
974,1238593,241,41.39,5086,24.44
975,1239721,450,114.31,5092,24.44
976,1242351,163,28.2,5098,24.44
977,1244199,287,50.23,5104,24.44
978,1248245,103,22.23,5110,24.44
979,1248455,284,49.41,5115,24.44
980,1250444,131,24.54,5121,24.44
981,1250691,318,57.28,5127,24.44
982,1252100,295,51.75,5132,24.44
983,1254360,455,117.03,5138,24.44
984,1255373,280,48.67,5144,24.44
985,1255383,428,101.58,5150,24.44
986,1256108,188,32.01,5155,24.44
987,1256442,449,112.05,5160,24.44
988,1256854,188,32.01,5165,24.44
989,1258699,463,119.23,5170,24.44
990,1259141,271,46.93,5176,24.44
991,1259835,313,56.02,5182,24.44
992,1260618,376,76.43,5187,24.44
993,1261393,177,30.25,5192,24.44
994,1261513,98,21.83,5197,24.44
995,1262913,305,53.88,5202,24.44
996,1262960,103,22.23,5208,24.44
997,1266425,56,16.76,5213,24.44
998,1267690,252,43.42,5219,24.44
999,1268347,287,50.23,5225,24.44
1000,1268938,307,54.48,5231,24.44
1001,1272549,467,121.56,5237,24.44
1002,1274417,241,41.39,5243,24.44
1003,1275120,376,76.43,5249,24.44
1004,1276920,335,61.77,5254,24.44
1005,1277611,236,40.44,5260,24.44
1006,1277757,270,46.71,5266,24.44
1007,1279130,295,51.75,5272,24.44
1008,1279641,112,22.94,5278,24.44
1009,1280059,152,26.78,5284,24.44
1010,1282508,467,121.56,5290,24.44
1011,1283992,352,66.89,5296,24.44
1012,1284172,451,113.08,5302,24.44
