Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
257,140468,209,35.61,5061,24.23
258,140857,177,30.25,5065,24.34
259,141721,83,20.46,5096,24.23
260,142531,393,83.55,5128,24.44
261,143815,58,17.1,5161,24.23
262,143954,441,109.77,5166,24.44
263,143972,99,21.91,5170,24.34
264,144135,79,20.03,5202,24.34
265,145199,185,31.51,5233,24.34
266,145488,188,32.01,5237,24.23
267,145840,158,27.53,5241,24.34
268,145961,56,16.76,5245,24.34
269,146046,63,17.91,5277,24.23
270,146221,127,24.18,5282,24.34
271,146411,371,73.82,5287,24.23
272,146431,172,29.49,5291,24.34
273,147042,63,17.91,5323,24.12
274,147497,74,19.44,5328,24.12
275,147961,74,19.44,5333,24.23
276,149228,280,48.67,5392,24.23
277,149583,195,33.17,5397,24.01
278,150933,359,69.86,5428,24.12
279,151120,480,130.21,5460,24.44
280,151503,51,15.86,5465,24.23
281,151999,207,35.26,5469,24.23
282,152653,225,38.48,5499,24.23
283,153736,620,217.12,5531,24.23
284,154560,224,38.29,5567,24.44
285,155036,56,16.76,5599,24.23
286,155074,304,53.73,5604,24.34
287,156611,172,29.49,5637,24.34
288,156664,56,16.76,5641,24.44
289,156678,371,73.82,5646,24.34
290,157156,63,17.91,5679,24.23
291,157258,62,17.75,5684,24.23
292,159429,70,18.93,5742,24.44
293,159472,255,43.96,5747,24.01
294,159759,345,64.98,5751,24.44
295,160543,344,64.67,5783,24.34
296,160552,57,16.93,5787,24.44
297,160903,124,23.92,5792,24.23
298,160930,124,23.92,5797,24.34
299,161647,49,15.48,5829,24.34
300,162334,199,33.86,5859,24.34
301,162421,368,72.93,5864,24.34
302,163332,53,16.22,5897,24.34
303,163354,211,35.96,5901,24.23
304,163552,252,43.42,5906,24.23
305,164181,103,22.23,5938,24.34
306,164357,165,28.48,5942,24.44
307,164593,451,113.08,5947,24.23
308,164947,110,22.78,5952,24.34
309,165336,63,17.91,5983,24.44
310,165367,60,17.43,5988,24.34
311,166751,78,19.92,6020,24.23
312,166798,399,87.3,6024,24.34
313,167262,153,26.9,6056,24.44
314,167611,496,144.49,6061,24.34
315,168354,124,23.92,6096,24.44
316,168452,138,25.22,6101,24.23
317,169181,280,48.67,6133,24.34
318,169321,79,20.03,6138,24.34
319,169957,496,144.49,6142,24.23
320,170262,67,18.51,6177,24.34
321,170307,51,15.86,6182,24.34
322,172348,56,16.76,6240,24.34
323,172397,268,46.26,6245,23.91
324,172580,435,104.92,6250,24.23
325,172588,224,38.29,6254,24.34
326,173775,126,24.09,6286,24.34
327,173806,83,20.46,6291,24.44
328,174236,71,19.06,6323,24.34
329,174290,327,59.28,6328,24.34
330,175685,103,22.23,6361,24.34
331,176403,63,17.91,6392,24.34
332,176657,184,31.36,6397,24.12
333,176766,305,53.88,6401,24.34
334,178747,291,50.97,6462,24.34
335,178889,63,17.91,6467,24.23
336,179478,339,62.98,6499,24.44
337,179705,88,20.96,6503,24.34
338,180409,153,26.9,6534,24.44
339,181914,115,23.18,6566,24.44
340,182051,281,48.9,6598,24.44
341,182497,71,19.06,6603,24.34
342,182785,174,29.79,6608,24.34
343,183000,112,22.94,6612,24.01
344,183471,412,92.93,6644,24.34
345,183820,399,87.3,6648,24.44
346,184340,409,91.12,6681,24.34
347,184477,432,101.61,6685,24.34
348,184582,89,21.05,6689,24.34
349,184676,216,36.85,6693,24.23
350,185248,300,52.79,6724,24.44
351,185592,319,57.64,6729,24.23
352,188426,53,16.22,6817,24.12
353,188911,210,35.78,6821,24.23
354,189080,126,24.09,6852,24.34
355,189966,98,21.83,6857,24.44
356,190135,195,33.17,6888,24.34
357,190371,249,42.85,6892,24.44
358,191172,312,55.68,6924,24.23
359,191200,227,38.83,6929,24.23
360,191465,172,29.49,6934,24.44
361,191646,184,31.36,6938,24.44
362,192070,110,22.78,6969,24.23
363,192078,204,34.73,6973,24.44
364,192142,99,21.91,6978,24.23
365,192247,188,32.01,6982,24.23
366,192324,172,29.49,6986,24.12
367,192794,314,56.08,6990,24.44
368,194223,167,28.76,7050,24.44
369,194508,131,24.54,7055,24.44
370,196109,69,18.79,7114,24.44
371,196302,74,19.44,7119,24.34
372,196767,159,27.66,7124,24.34
373,196919,537,162.17,7128,24.44
374,197035,345,64.98,7164,24.34
375,197269,76,19.69,7168,24.34
376,197303,127,24.18,7172,24.44
377,197482,112,22.94,7177,24.12
378,198973,59,17.27,7209,24.34
379,199497,345,64.98,7240,24.01
380,200192,255,43.96,7272,24.34
381,200527,255,43.96,7276,24.34
382,201358,485,135.76,7307,24.44
383,201696,419,97.2,7312,24.34
384,203858,199,33.86,7374,24.23
385,203895,178,30.4,7379,24.44
386,204337,56,16.76,7410,24.23
387,204509,202,34.38,7415,24.44
388,204706,181,30.87,7419,24.44
389,205351,415,95,7450,24.44
390,205921,423,97.36,7454,24.23
391,206439,172,29.49,7487,24.23
392,206798,476,129.76,7491,24.34
393,207135,115,23.18,7526,24.44
394,207145,71,19.06,7531,24.23
395,207628,304,53.73,7536,24.34
396,208479,96,21.67,7569,24.34
397,209497,399,87.3,7601,24.23
398,210064,76,19.69,7634,24.44
399,210527,89,21.05,7638,24.44
400,211140,99,21.91,7669,24.23
401,211300,355,68.3,7673,24.23
402,211460,178,30.4,7677,24.34
403,211593,92,21.32,7681,24.44
404,212259,297,52.13,7712,24.34
405,212425,112,22.94,7717,24.34
406,212562,217,37.04,7722,24.34
407,212614,97,21.75,7726,24.44
408,213504,51,15.86,7757,24.44
409,213513,143,25.74,7761,24.44
410,213944,63,17.91,7766,24.23
411,214217,172,29.49,7798,24.44
412,215364,51,15.86,7829,24.44
413,215914,184,31.36,7833,24.12
414,215964,305,53.88,7837,24.12
415,218484,345,64.98,7926,24.34
416,220615,56,16.76,7986,24.44
417,221835,492,134.92,8018,24.23
418,223726,152,26.78,8083,24.34
419,224282,366,72.41,8115,24.34
420,226254,112,22.94,8176,24.34
421,226724,435,104.92,8181,24.34
422,227518,50,15.67,8214,24.34
423,227923,302,53.3,8218,24.34
424,228330,73,19.32,8251,24.34
425,228912,63,17.91,8256,24.23
426,229794,249,42.85,8288,24.34
427,229845,181,30.87,8293,24.34
428,229879,71,19.06,8297,24.34
429,230140,92,21.32,8329,24.23
430,231885,147,26.19,8360,24.34
431,232312,327,59.28,8392,24.34
432,232350,88,20.96,8397,24.34
433,233202,273,47.25,8428,24.34
434,233291,319,57.64,8433,24.34
435,233321,176,30.09,8437,24.34
436,233398,211,35.96,8442,24.23
437,233819,220,37.58,8446,24.44
438,234626,177,30.25,8477,24.34
439,234693,419,97.2,8481,24.44
440,234741,110,22.78,8485,24.23
441,234792,455,117.03,8489,24.23
442,235060,344,64.67,8523,24.34
443,235722,732,451.17,8527,24.23
444,235745,96,21.67,8532,24.44
445,236617,89,21.05,8564,24.44
446,237072,492,134.92,8595,24.34
447,237374,76,19.69,8600,24.34
448,237550,61,17.6,8604,24.34
449,238103,103,22.23,8636,24.23
450,238601,109,22.7,8640,24.44
451,238920,166,28.62,8644,24.34
452,239234,409,91.12,8676,24.23
453,240095,263,45.37,8709,24.34
454,240132,81,20.25,8714,24.44
455,240622,94,21.5,8719,24.34
456,240866,224,38.29,8723,24.44
457,240929,451,113.08,8728,24.34
458,241097,63,17.91,8762,24.44
459,241221,391,82.35,8767,24.44
460,241719,171,29.34,8771,24.44
461,241764,110,22.78,8775,24.34
462,242051,63,17.91,8806,24.44
463,242647,96,21.67,8811,24.34
464,242677,307,54.48,8816,24.34
465,242861,418,96.6,8821,24.34
466,243265,305,53.88,8854,24.34
467,243404,359,69.86,8859,24.23
468,243743,435,104.92,8863,24.23
469,244402,167,28.76,8896,24.34
470,244494,348,65.64,8901,24.34
471,246331,339,62.98,8961,24.44
472,247098,167,28.76,8993,24.34
473,247204,338,62.67,8998,24.34
474,247575,89,21.05,9003,24.44
475,247746,67,18.51,9007,24.44
476,248277,271,46.93,9039,24.34
477,248394,71,19.06,9044,24.44
478,248405,121,23.66,9049,24.23
479,248980,152,26.78,9054,24.34
480,249089,211,35.96,9086,24.34
481,249492,483,132.6,9090,24.44
482,250070,90,21.14,9125,24.44
483,250301,131,24.54,9129,24.34
484,250741,121,23.66,9134,24.34
485,251425,280,48.67,9166,24.44
486,252058,71,19.06,9198,24.34
487,252687,515,147.53,9203,24.23
488,252903,255,43.96,9208,24.44
489,253758,115,23.18,9240,24.44
490,254746,78,19.92,9272,24.44
491,255377,615,227.36,9303,24.34
492,255774,103,22.23,9308,24.44
493,256920,120,23.58,9339,24.34
494,257435,199,33.86,9371,24.34
495,258268,204,34.73,9403,24.34
496,259374,93,21.41,9435,24.34
497,259762,71,19.06,9439,24.44
498,259767,103,22.23,9444,24.34
499,259779,51,15.86,9449,24.34
500,260648,728,431.28,9496,24.44
501,261265,96,21.67,9532,24.44
502,261293,185,31.51,9537,24.44
503,261467,105,22.39,9542,24.44
504,261643,178,30.4,9546,24.23
505,262071,327,59.28,9577,24.44
506,262569,352,66.89,9582,24.23
507,262893,319,57.64,9587,24.44
508,263259,348,65.64,9619,24.34
509,263431,51,15.86,9623,24.34
510,263526,287,50.23,9627,24.44
511,264091,51,15.86,9660,24.23
512,265832,391,82.35,9691,24.34
513,266117,96,21.67,9724,24.23
514,266821,167,28.76,9728,24.34
515,267341,51,15.86,9760,24.34
516,267819,81,20.25,9764,23.91
517,268092,79,20.03,9796,24.34
518,270695,99,21.91,9854,24.34
519,271092,88,20.96,9885,24.34
520,271242,615,227.36,9889,24.44
521,272051,185,31.51,9925,24.34
522,272115,323,58.48,9929,24.23
523,272133,71,19.06,9934,24.34
524,272227,467,121.56,9939,24.01
525,272344,359,69.86,9944,24.23
526,273048,83,20.46,9976,24.44
527,273255,70,18.93,9981,24.34
528,273592,302,53.3,9986,24.34
529,273896,384,80.08,9991,24.34
530,274446,188,32.01,10025,24.34
531,275490,172,29.49,10057,24.34
532,275747,419,97.2,10062,24.44
533,278085,515,147.53,10154,24.34
534,278292,63,17.91,10159,24.34
535,280114,79,20.03,10218,24.34
536,280151,51,15.86,10223,24.34
537,280274,467,121.56,10228,24.34
538,280621,63,17.91,10233,24.34
539,280778,252,43.42,10238,24.34
540,280793,78,19.92,10243,24.34
541,280934,167,28.76,10248,24.44
542,281577,243,41.74,10280,24.34
543,281609,231,39.55,10285,24.34
544,281732,96,21.67,10290,24.34
545,281865,109,22.7,10295,24.34
546,282522,71,19.06,10327,24.44
547,282704,358,69.1,10332,24.01
548,283235,433,104.37,10364,24.34
549,283536,327,59.28,10369,24.23
550,283952,99,21.91,10374,24.34
551,284056,193,32.84,10406,24.23
552,284288,126,24.09,10411,24.34
553,284402,67,18.51,10416,24.44
554,284803,185,31.51,10421,24.44
