Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
253,141599,441,109.77,5107,24.44
254,141632,79,20.03,5111,24.44
255,141972,99,21.91,5116,24.34
256,142754,225,38.48,5147,24.44
257,142981,60,17.43,5152,24.44
258,143322,79,20.03,5184,24.44
259,144054,743,466.23,5215,24.44
260,144307,227,38.83,5219,24.34
261,144684,135,24.92,5224,24.44
262,145258,451,113.08,5256,24.44
263,145323,510,148.47,5261,24.44
264,145887,108,22.63,5266,24.44
265,146037,225,38.48,5297,24.44
266,146326,71,19.06,5302,24.44
267,146459,455,117.03,5307,24.44
268,147341,110,22.78,5341,24.44
269,148244,135,24.92,5372,24.44
270,148445,287,50.23,5377,24.34
271,148788,304,53.73,5382,24.44
272,148966,483,132.6,5387,24.34
273,149147,58,17.1,5422,24.34
274,151116,115,23.18,5480,24.34
275,151541,58,17.1,5485,24.44
276,152378,173,29.64,5516,24.34
277,152658,108,22.63,5520,24.34
278,153340,454,115.28,5551,24.34
279,153556,163,28.2,5556,24.44
280,153798,120,23.58,5561,24.44
281,154670,60,17.43,5593,24.44
282,155182,69,18.79,5625,24.44
283,156120,117,23.34,5657,24.44
284,156756,67,18.51,5662,24.44
285,157330,97,21.75,5693,24.44
286,158271,287,50.23,5724,24.44
287,158353,227,38.83,5729,24.44
288,158567,376,76.43,5734,24.44
289,158846,83,20.46,5738,24.44
290,159364,359,69.86,5770,24.44
291,159606,115,23.18,5774,24.44
292,159847,300,52.79,5779,24.44
293,160062,67,18.51,5812,24.34
294,160942,366,72.41,5817,24.44
295,161427,120,23.58,5850,24.44
296,161686,156,27.28,5855,24.44
297,161842,163,28.2,5860,24.44
298,161965,295,51.75,5865,24.44
299,162542,199,33.86,5898,24.34
300,162968,115,23.18,5903,24.44
301,163403,88,20.96,5935,24.44
302,164424,159,27.66,5966,24.34
303,164468,51,15.86,5970,24.34
304,164720,352,66.89,5974,24.44
305,164806,57,16.93,5979,24.44
306,165122,193,32.84,6011,24.44
307,166660,412,92.93,6043,24.34
308,166999,620,217.12,6047,24.44
309,167270,207,35.26,6081,24.34
310,167279,384,80.08,6085,24.34
311,167762,131,24.54,6090,24.23
312,167815,71,19.06,6095,24.44
313,168428,103,22.23,6127,24.44
314,168482,56,16.76,6131,24.44
315,168698,408,90.57,6136,24.44
316,170236,131,24.54,6199,24.44
317,170916,489,138.11,6204,24.44
318,171201,79,20.03,6239,24.44
319,171530,466,122,6243,24.44
320,171789,326,59.13,6248,24.44
321,172187,398,85.63,6281,24.44
322,174514,99,21.91,6343,24.44
323,174537,361,70.62,6347,24.34
324,174887,152,26.78,6351,24.34
325,175552,307,54.48,6383,24.44
326,175708,78,19.92,6388,24.23
327,176036,184,31.36,6419,24.44
328,176553,319,57.64,6423,24.44
329,179972,408,90.57,6511,24.23
330,180353,216,36.85,6545,24.44
331,180752,76,19.69,6549,24.34
332,182073,73,19.32,6607,24.44
333,182148,158,27.53,6612,24.44
334,182188,184,31.36,6616,24.44
335,182216,254,43.77,6620,24.34
336,182804,444,109.09,6625,24.44
337,182864,81,20.25,6629,24.44
338,182994,76,19.69,6634,24.44
339,183172,53,16.22,6665,24.44
340,184269,536,160.18,6696,24.34
341,184718,121,23.66,6701,24.44
342,184744,204,34.73,6706,24.34
343,184891,56,16.76,6711,24.44
344,186688,115,23.18,6770,24.34
345,187439,359,69.86,6802,24.34
346,187736,113,23.02,6806,24.44
347,188116,98,21.83,6838,24.34
348,188472,192,32.67,6842,24.34
349,188796,339,62.98,6847,24.44
350,189336,510,148.47,6879,24.34
351,190113,287,50.23,6914,24.44
352,191718,53,16.22,6947,24.44
353,192940,483,132.6,6978,24.44
354,195307,143,25.74,7073,24.34
355,195352,396,85.28,7078,24.44
356,196226,67,18.51,7112,24.44
357,196919,96,21.67,7117,24.44
358,199830,195,33.17,7203,24.44
359,199957,158,27.53,7207,24.44
360,202816,327,59.28,7292,24.44
361,202956,463,119.23,7297,24.44
362,203570,204,34.73,7331,24.34
363,204325,117,23.34,7363,24.44
364,205084,85,20.67,7395,24.44
365,205380,127,24.18,7399,24.23
366,205436,572,183.73,7404,24.34
367,205669,448,112.41,7409,24.44
368,206464,192,32.67,7444,24.44
369,207514,350,66.46,7476,24.44
370,208252,403,88.99,7508,24.44
371,208882,88,20.96,7512,24.44
372,209107,81,20.25,7543,24.34
373,209291,76,19.69,7548,24.44
374,209730,77,19.81,7552,24.44
375,210727,88,20.96,7584,24.34
376,211053,295,51.75,7615,24.34
377,211767,204,34.73,7620,24.44
378,212202,56,16.76,7652,24.44
379,212525,359,69.86,7657,24.34
380,213136,369,73.42,7689,24.44
381,213157,263,45.37,7693,24.44
382,214723,295,51.75,7725,24.34
383,214761,79,20.03,7730,24.34
384,216149,220,37.58,7788,24.34
385,216188,307,54.48,7792,24.44
386,216648,88,20.96,7797,24.34
387,217093,51,15.86,7828,24.44
388,217128,79,20.03,7832,24.44
389,217575,409,91.12,7836,24.44
390,218276,391,82.35,7869,24.44
391,218727,368,72.93,7873,24.44
392,218836,67,18.51,7878,24.44
393,219321,85,20.67,7910,24.44
394,220321,245,42.08,7941,24.34
395,221105,338,62.67,7973,24.44
396,221816,345,64.98,7977,24.44
397,222819,158,27.53,8009,24.44
398,222825,314,56.08,8013,24.44
399,222906,368,72.93,8018,24.44
400,222959,50,15.67,8023,24.44
401,226078,561,174.17,8135,24.44
402,226757,204,34.73,8140,24.44
403,227176,193,32.84,8172,24.34
404,227267,158,27.53,8177,24.44
405,227495,368,72.93,8181,24.44
406,227661,174,29.79,8185,24.44
407,227942,92,21.32,8189,24.44
408,229511,71,19.06,8247,24.34
409,229632,103,22.23,8252,24.44
410,230292,359,69.86,8283,24.23
411,230454,211,35.96,8287,24.44
412,230924,56,16.76,8291,24.44
413,231449,332,61.17,8323,24.44
414,233061,647,246.69,8384,24.34
415,234095,57,16.93,8420,24.44
416,234298,377,76.28,8425,24.44
417,234636,455,117.03,8429,24.44
418,234649,56,16.76,8434,24.44
419,234980,57,16.93,8439,24.44
420,235996,163,28.2,8471,24.34
421,236177,499,141.24,8503,24.44
422,236858,608,202.86,8508,24.34
423,236905,112,22.94,8513,24.34
424,237853,79,20.03,8545,24.44
425,238299,92,21.32,8576,24.34
426,238625,207,35.26,8580,24.34
427,238697,63,17.91,8584,24.44
428,239501,96,21.67,8616,24.44
429,239738,176,30.09,8621,24.34
430,240418,307,54.48,8652,24.44
431,240629,326,59.13,8657,24.44
432,240867,71,19.06,8662,24.44
433,240995,69,18.79,8667,24.44
434,241119,348,65.64,8699,24.44
435,241944,71,19.06,8703,24.44
436,242764,67,18.51,8735,24.44
437,243761,71,19.06,8767,24.34
438,244271,384,80.08,8799,24.44
439,245270,211,35.96,8833,24.34
440,245829,117,23.34,8837,24.44
441,246500,57,16.93,8869,24.34
442,246551,423,97.36,8874,24.44
443,247740,83,20.46,8907,24.44
444,248201,192,32.67,8939,24.44
445,248222,432,101.61,8944,24.34
446,248594,103,22.23,8949,24.34
447,249178,199,33.86,8980,24.34
448,250444,371,73.82,9012,24.44
449,250957,186,31.68,9016,24.44
450,251167,391,82.35,9047,24.44
451,251700,102,22.15,9051,24.34
452,252200,355,68.3,9083,24.44
453,253473,57,16.93,9115,24.44
454,253674,51,15.86,9120,24.34
455,253712,338,62.67,9124,24.44
456,253960,335,61.77,9129,24.44
457,254061,263,45.37,9162,24.44
458,254614,508,144.95,9167,24.34
459,256415,60,17.43,9232,24.44
460,256754,184,31.36,9237,24.44
461,256887,71,19.06,9241,24.44
462,257817,487,132.65,9272,24.44
463,257889,307,54.48,9277,24.34
464,259714,50,15.67,9338,24.44
465,259776,167,28.76,9342,24.44
466,260260,184,31.36,9374,24.44
467,260959,323,58.48,9378,24.44
