Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
426,564721,281,48.9,2169,24.44
427,564940,316,56.81,2175,24.44
428,567341,255,43.96,2180,24.44
429,568074,147,26.19,2185,24.44
430,568333,344,64.67,2190,24.44
431,568834,297,52.13,2195,24.44
432,569650,462,120.87,2200,24.44
433,572053,422,97.97,2205,24.44
434,573043,357,68.97,2210,24.44
435,573873,344,64.67,2215,24.44
436,575148,401,87.91,2220,24.44
437,575258,455,117.03,2225,24.44
438,576078,185,31.51,2230,24.44
439,577466,432,101.61,2235,24.66
440,577996,295,51.75,2240,24.44
441,579007,435,104.92,2245,24.44
442,579072,204,34.73,2250,24.44
443,580027,238,40.82,2255,24.44
444,582944,371,73.82,2261,24.44
445,583007,448,112.41,2266,24.44
446,583170,327,59.28,2271,24.44
447,585353,268,46.26,2276,24.44
448,588274,147,26.19,2282,24.44
449,589209,255,43.96,2287,24.44
450,589772,294,51.51,2292,24.44
451,590125,255,43.96,2297,24.44
452,595121,455,117.03,2302,24.44
453,595290,462,120.87,2307,24.44
454,596404,174,29.79,2312,24.44
455,596455,451,113.08,2317,24.44
456,599397,440,109.25,2322,24.44
457,599543,348,65.64,2327,24.44
458,600151,318,57.28,2332,24.44
459,601979,460,119.54,2337,24.44
460,602979,419,97.2,2343,24.44
461,603351,460,119.54,2348,24.44
462,604286,167,28.76,2354,24.44
463,604322,354,67.99,2359,24.44
464,604352,248,42.69,2364,24.44
465,606150,262,45.24,2370,24.44
466,607572,135,24.92,2376,24.44
467,608311,243,41.74,2382,24.44
468,609900,455,117.03,2388,24.44
469,610299,423,97.36,2393,24.44
470,612506,135,24.92,2398,24.44
471,613435,348,65.64,2404,24.44
