Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
253,137506,344,64.67,4963,23.8
254,138305,370,73.62,4996,23.8
255,139885,332,61.17,5029,24.01
256,140843,60,17.43,5062,23.91
257,140851,88,20.96,5067,23.91
258,141346,172,29.49,5099,23.91
259,141603,211,35.96,5103,24.23
260,141686,92,21.32,5107,23.8
261,141932,88,20.96,5111,24.12
262,142918,110,22.78,5142,24.01
263,144346,63,17.91,5200,24.12
264,144418,241,41.39,5205,24.12
265,144477,499,141.24,5210,24.12
266,145936,185,31.51,5245,24.01
267,146541,142,25.64,5276,24.34
268,146714,287,50.23,5281,24.12
269,147677,259,44.69,5314,24.23
270,148064,408,90.57,5347,24.01
271,148135,71,19.06,5352,23.91
272,149203,355,68.3,5384,23.69
273,149262,199,33.86,5388,24.12
274,151819,53,16.22,5447,24.23
275,151980,480,130.21,5451,24.34
276,152063,371,73.82,5486,23.8
277,153409,50,15.67,5518,23.91
278,153458,78,19.92,5522,24.12
279,153675,63,17.91,5526,24.01
280,153790,231,39.55,5531,24.23
281,153815,327,59.28,5536,24.01
282,154136,127,24.18,5569,24.23
283,154285,384,80.08,5574,24.23
284,154337,551,164.56,5579,24.01
285,154543,184,31.36,5584,23.91
286,156282,830,799.25,5642,23.8
287,156666,249,42.85,5647,24.01
288,157950,71,19.06,5679,23.8
289,161117,560,175.34,5792,23.8
290,161265,49,15.48,5797,24.12
291,161506,78,19.92,5801,24.12
292,162121,448,112.41,5832,24.01
293,162176,75,19.57,5837,24.01
294,162358,117,23.34,5842,24.01
295,162936,127,24.18,5847,24.01
296,163485,281,48.9,5879,24.01
297,164266,62,17.75,5911,24.01
298,164382,184,31.36,5916,24.12
299,164792,76,19.69,5920,24.01
300,165143,185,31.51,5951,23.69
301,165184,387,81.05,5955,23.8
302,165439,163,28.2,5960,24.01
303,167252,319,57.64,6019,24.12
304,168678,583,201.26,6051,24.01
305,169183,76,19.69,6087,23.91
306,171447,50,15.67,6145,23.91
307,171702,192,32.67,6149,23.91
308,172371,176,30.09,6181,24.12
309,172632,295,51.75,6185,23.91
310,172641,319,57.64,6190,24.01
311,172768,331,60.51,6195,24.12
312,172793,270,46.71,6200,24.23
313,172938,103,22.23,6205,23.91
314,173174,271,46.93,6236,23.8
315,173536,67,18.51,6241,23.91
316,175033,319,57.64,6300,23.91
317,175573,105,22.39,6304,23.8
318,175848,440,109.25,6308,24.12
319,176162,236,40.44,6341,24.12
320,176289,216,36.85,6346,23.69
321,177217,335,61.77,6377,23.91
322,177244,240,41.21,6382,23.91
323,177601,463,119.23,6387,23.8
324,177640,275,47.73,6392,24.01
325,178124,51,15.86,6425,24.12
326,178694,207,35.26,6429,24.12
327,179150,49,15.48,6460,24.12
328,179513,332,61.17,6464,24.23
329,179624,135,24.92,6469,23.91
330,179662,184,31.36,6474,24.01
331,179832,63,17.91,6478,24.23
332,179947,250,43.04,6483,23.91
333,180260,103,22.23,6516,24.01
334,180454,358,69.1,6520,24.01
335,180599,193,32.84,6524,24.12
336,180790,391,82.35,6529,23.91
337,180803,193,32.84,6533,24.23
338,181031,140,25.42,6565,24.12
339,181878,304,53.73,6570,24.01
340,182102,167,28.76,6602,23.91
341,183068,319,57.64,6634,23.91
342,183298,109,22.7,6638,24.12
343,183787,186,31.68,6642,23.91
344,183990,124,23.92,6646,24.12
345,184321,92,21.32,6678,24.12
346,184359,99,21.91,6682,24.01
347,184554,409,91.12,6686,24.12
348,184627,440,109.25,6690,24.12
349,185829,57,16.93,6723,24.12
350,186426,102,22.15,6755,24.12
351,186767,83,20.46,6760,23.91
352,186936,370,73.62,6765,24.12
353,187691,515,147.53,6797,23.8
354,187749,172,29.49,6802,24.12
355,187977,575,187.3,6806,24.01
356,188560,178,30.4,6842,24.01
357,189489,352,66.89,6873,23.8
358,189707,384,80.08,6878,24.01
359,190819,489,138.11,6912,24.01
360,191206,376,76.43,6947,24.01
361,191429,287,50.23,6951,23.91
362,191971,176,30.09,6956,24.12
363,192035,419,97.2,6987,24.12
364,192091,121,23.66,6991,24.01
365,192265,384,80.08,6996,23.91
366,192689,396,85.28,7001,24.23
367,193115,293,51.29,7035,24.12
368,193636,92,21.32,7040,24.23
369,193891,216,36.85,7044,24.01
370,195575,204,34.73,7102,24.01
371,196310,444,109.09,7133,24.01
372,196417,176,30.09,7137,23.8
373,196789,376,76.43,7141,24.01
