Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
371,190853,193,32.84,6961,24.44
372,192386,51,15.86,7020,24.44
373,192598,71,19.06,7024,24.23
374,194163,79,20.03,7083,24.34
375,194602,467,121.56,7087,24.44
376,195171,176,30.09,7122,24.44
377,197574,184,31.36,7180,24.44
378,199123,62,17.75,7238,24.44
379,199297,403,88.99,7243,24.34
380,199764,69,18.79,7247,24.34
381,200867,127,24.18,7279,24.34
382,200922,399,87.3,7284,24.34
383,201157,195,33.17,7316,24.44
384,201573,207,35.26,7320,24.44
385,201741,127,24.18,7324,24.44
386,202145,179,30.55,7356,24.44
387,202556,377,76.28,7360,24.34
388,202778,199,33.86,7364,24.44
389,203626,440,109.25,7396,24.44
390,203850,399,87.3,7400,24.44
391,204564,487,132.65,7433,24.34
392,205060,419,97.2,7468,24.34
393,205244,357,68.97,7472,24.34
394,205269,79,20.03,7476,24.44
395,205895,391,82.35,7481,24.34
396,206303,473,126.29,7514,24.34
397,206789,275,47.73,7519,24.44
398,206959,152,26.78,7524,24.34
399,207106,56,16.76,7556,24.44
400,207178,133,24.73,7561,24.23
401,207451,140,25.42,7566,24.34
402,208365,359,69.86,7598,24.34
403,209314,153,26.9,7630,24.44
404,209405,92,21.32,7635,24.44
405,209747,319,57.64,7639,24.34
406,211446,307,54.48,7699,24.44
407,211559,359,69.86,7704,24.34
408,211661,120,23.58,7708,24.34
409,212511,51,15.86,7740,24.44
410,213196,62,17.75,7771,24.34
411,213487,108,22.63,7776,24.23
412,214404,108,22.63,7807,24.34
413,215420,81,20.25,7838,24.44
414,215585,126,24.09,7843,24.44
415,215595,56,16.76,7848,24.34
416,216536,85,20.67,7880,24.44
417,216669,527,155.96,7884,24.34
418,217373,61,17.6,7919,24.34
419,218186,344,64.67,7951,24.34
420,218497,79,20.03,7955,24.34
421,218954,216,36.85,7959,24.23
422,219080,236,40.44,7990,24.34
423,219924,313,56.02,7995,24.34
424,220605,83,20.46,8027,24.44
425,220633,423,97.36,8032,24.23
426,221394,409,91.12,8066,24.44
427,221632,284,49.41,8070,24.44
428,224486,496,144.49,8156,24.44
429,226154,53,16.22,8221,24.34
430,227496,88,20.96,8252,24.34
431,227776,165,28.48,8256,24.44
432,227799,448,112.41,8261,24.34
433,228334,408,90.57,8296,24.44
434,228553,82,20.36,8301,24.34
435,228649,364,71.71,8306,24.44
436,229697,56,16.76,8339,24.44
437,229851,313,56.02,8344,24.44
438,231079,71,19.06,8404,24.44
439,231434,57,16.93,8409,24.44
440,232912,423,97.36,8441,24.44
441,233220,167,28.76,8474,24.34
442,233511,112,22.94,8479,24.44
443,235429,147,26.19,8538,24.44
444,235445,176,30.09,8543,24.34
445,236151,70,18.93,8575,24.44
446,236962,370,73.62,8580,24.44
447,237460,83,20.46,8613,24.44
448,237505,408,90.57,8618,24.44
449,237619,88,20.96,8623,24.34
450,237858,472,125.87,8627,24.44
451,239660,97,21.75,8692,24.34
452,240160,217,37.04,8723,24.34
453,240199,82,20.36,8727,24.34
454,243154,140,25.42,8813,24.44
455,243723,51,15.86,8818,24.34
456,244082,93,21.41,8849,24.44
457,245131,505,145.23,8880,24.23
458,245230,252,43.42,8885,24.44
459,246905,204,34.73,8918,24.44
460,248889,376,76.43,8977,24.44
461,250297,172,29.49,9037,24.34
462,251180,269,46.58,9068,24.34
463,251239,280,48.67,9073,24.01
464,251747,575,187.3,9078,24.34
465,252674,56,16.76,9114,24.44
466,253220,156,27.28,9146,24.34
467,253623,63,17.91,9151,24.34
468,255143,440,109.25,9210,24.44
469,255167,126,24.09,9214,24.34
470,255437,376,76.43,9219,24.34
471,255871,143,25.74,9223,24.34
472,256120,688,328.69,9255,24.44
473,256363,67,18.51,9260,24.34
474,257388,449,112.05,9292,24.34
475,257668,60,17.43,9297,24.44
476,257793,359,69.86,9302,24.44
477,257819,79,20.03,9306,24.34
478,258600,152,26.78,9338,24.34
479,258978,325,59.05,9343,24.44
480,259121,56,16.76,9376,24.34
481,260577,147,26.19,9408,24.34
482,260615,184,31.36,9413,24.44
483,260765,467,121.56,9417,24.44
484,261045,434,104.89,9452,24.44
485,261658,71,19.06,9456,24.34
486,262129,156,27.28,9488,24.44
487,262637,124,23.92,9493,24.34
488,262935,521,150.31,9498,24.44
489,263865,359,69.86,9534,24.34
490,263871,236,40.44,9538,24.44
491,265440,361,70.62,9599,24.34
492,266568,184,31.36,9631,24.34
493,266579,143,25.74,9635,24.34
494,266609,85,20.67,9640,24.34
495,267711,88,20.96,9672,24.34
496,268350,62,17.75,9703,24.34
497,268465,108,22.63,9708,24.34
498,269139,56,16.76,9739,24.44
499,270353,71,19.06,9771,24.44
500,271044,337,62.3,9803,24.44
501,271757,152,26.78,9808,24.44
502,272963,316,56.81,9840,24.34
503,273095,79,20.03,9872,24.44
504,273188,421,97.33,9876,24.34
505,274435,287,50.23,9909,24.34
506,274719,51,15.86,9914,24.34
507,275932,76,19.69,9945,24.44
508,276047,440,109.25,9976,24.44
509,276758,76,19.69,9980,24.34
510,276777,152,26.78,9984,24.44
511,278341,211,35.96,10043,24.34
512,278970,92,21.32,10048,24.34
513,280297,333,61.18,10106,24.44
514,280359,76,19.69,10111,24.34
515,280708,89,21.05,10116,24.34
516,280920,270,46.71,10120,24.44
517,281290,89,21.05,10152,24.34
518,281410,639,249.88,10156,24.44
519,282736,103,22.23,10192,24.34
520,283282,57,16.93,10224,24.34
521,283860,189,32.16,10229,24.34
522,284612,85,20.67,10260,24.44
523,284898,140,25.42,10265,24.44
